Company Name, Policies In Force , Number of Complaints , Ratio 
ACA HOME INSURANCE CORP,"3,052",0,0
ACE INSURANCE COMPANY OF THE MIDWEST,"2,351",0,0
ADDISON INSURANCE COMPANY,533,1,533
AEGIS SECURITY INSURANCE COMPANY,809,1,809
AIG PROPERTY CASUALTY COMPANY,"13,552",1,"13,552"
AMERICAN AUTOMOBILE INSURANCE COMPANY,"2,820",1,"2,820"
AMERICAN BANKERS INSURANCE COMPANY OF FLORIDA,"129,118",10,"12,912"
AMERICAN HOME ASSURANCE COMPANY,980,1,980
AMERICAN INTEGRITY INSURANCE COMPANY OF FLORIDA,"182,673",49,"3,728"
"AMERICAN MODERN INSURANCE COMPANY OF FLORIDA, INC.","48,634",4,"12,159"
AMERICAN PLATINUM PROPERTY AND CASUALTY INSURANCE COMPANY,729,0,0
AMERICAN RELIABLE INSURANCE COMPANY,"6,563",2,"3,282"
AMERICAN SECURITY INSURANCE COMPANY,14,24,1
AMERICAN SOUTHERN HOME INSURANCE COMPANY,"9,097",2,"4,549"
AMERICAN STRATEGIC INSURANCE CORP,"62,032",16,"3,877"
AMERICAN TRADITIONS INSURANCE COMPANY,"50,725",8,"6,341"
AMICA MUTUAL INSURANCE COMPANY,"21,990",5,"4,398"
ARK ROYAL INSURANCE COMPANY,"91,188",7,"13,027"
ARMED FORCES INSURANCE EXCHANGE,"3,989",1,"3,989"
ASI ASSURANCE CORP,"84,123",7,"12,018"
ASI PREFERRED INSURANCE CORP,"102,139",2,"51,070"
ASSOCIATED INDEMNITY CORPORATION,280,0,0
AUTO CLUB INSURANCE COMPANY OF FLORIDA,"59,423",6,"9,904"
AUTO OWNERS INSURANCE COMPANY,"2,561",2,"1,281"
AVATAR PROPERTY AND CASUALTY INSURANCE COMPANY,"10,391",2,"5,196"
"CAPITOL PREFERRED INSURANCE COMPANY, INC.","41,634",12,"3,470"
CASTLE KEY INDEMNITY COMPANY,"106,897",10,"10,690"
CASTLE KEY INSURANCE COMPANY,"95,823",28,"3,422"
CENTURY NATIONAL INSURANCE COMPANY,4,0,0
