Company Name,NAICId,Group,Rating
ACA HOME INSURANCE CORP,11072,ARX HOLDING CORP GROUP,FSR - A''
ALLIANT NATIONAL TITLE INSURANCE COMPANY,12309,N/A,FSR - A
"ALLIED PROFESSIONALS INSURANCE COMPANY, RRG",11710,N/A,FSR - A'
ALLIED PROPERTY AND CASUALTY INSURANCE COMPANY,42579,NATIONWIDE GROUP,FSR - A''
ALLSTATE FIRE AND CASUALTY INSURANCE COMPANY,29688,ALLSTATE INSURANCE GROUP,FSR - A''
ALLSTATE INDEMNITY COMPANY,19240,ALLSTATE INSURANCE GROUP,FSR - A''
ALLSTATE INSURANCE COMPANY,19232,ALLSTATE INSURANCE GROUP,FSR - A''
ALLSTATE PROPERTY AND CASUALTY INSURANCE COMPANY,17230,ALLSTATE INSURANCE GROUP,FSR - A''
ALLSTATE VEHICLE AND PROPERTY INSURANCE COMPANY,37907,ALLSTATE INSURANCE GROUP,FSR - A''
AMERICAN CAPITAL ASSURANCE CORP,12601,ARX HOLDING CORP GROUP,FSR - A''
AMERICAN COASTAL INSURANCE COMPANY,12968,N/A,FSR - A'
AMERICAN COLONIAL INSURANCE COMPANY,31151,"CONIFER HOLDINGS, INC",FSR - A
AMERICAN GUARANTY TITLE INSURANCE COMPANY,51411,OLD REPUBLIC,FSR - A''
"AMERICAN INTEGRITY INSURANCE COMPANY OF FLORIDA, INC",12841,N/A,FSR - A
AMERICAN PET INSURANCE COMPANY,12190,N/A,FSR - A
AMERICAN PLATINUM PROPERTY AND CASUALTY INSURANCE COMPANY,13563,UNIVERSAL INSURANCE HOLDING GROUP,FSR - A
AMERICAN PROPERTY INSURANCE COMPANY,21806,N/A,FSR - A
AMERICAN SERVICE INSURANCE COMPANY INC,42897,ATLAS FINANCIAL HOLDINGS,FSR - A
AMERICAN STRATEGIC INSURANCE CORP,10872,ARX HOLDING CORP GROUP,FSR - A''
AMERICAN TRADITIONS INSURANCE COMPANY,12359,JERGER HOLDINGS GROUP,FSR - A
AMERICAS INSURANCE COMPANY,27898,N/A,FSR - A
ANCHOR PROPERTY AND CASUALTY INSURANCE COMPANY,15617,N/A,FSR - A
"APPLIED MEDICO-LEGAL SOLUTIONS RRG, INC",11598,N/A,FSR - A'
ARK ROYAL INSURANCE COMPANY,13038,N/A,FSR - A
ASI ASSURANCE CORP,12196,ARX HOLDING CORP GROUP,FSR - A''
ASI PREFERRED INSURANCE CORP,13142,ARX HOLDING CORP GROUP,FSR - A''
AUTO CLUB INSURANCE COMPANY OF FLORIDA,12813,AUTO CLUB ENTERPRISES INSURANCE GROUP,FSR - A
AVATAR PROPERTY & CASUALTY INSURANCE COMPANY,13139,N/A,FSR - A
BANKERS INSURANCE COMPANY,33162,BANKERS INSURANCE GROUP,FSR - A
BAR PLAN MUTUAL INSURANCE COMPANY (THE),29513,BAR PLAN GROUP,FSR - A
CAPITOL PREFERRED INSURANCE COMPANY,10908,N/A,FSR - A
CARE RISK RETENTION GROUP INC,11825,N/A,FSR - A
CASTLE KEY INDEMNITY COMPANY,10835,ALLSTATE INSURANCE GROUP,FSR - A'
CASTLE KEY INSURANCE COMPANY,30511,ALLSTATE INSURANCE GROUP,FSR - A'
CENTAURI SPECIALTY INSURANCE COMPANY,12573,N/A,FSR - A
"CENTURION MEDICAL LIABILITY PROTECTIVE RRG, INC",11976,N/A,FSR - A
"CHEROKEE GUARANTEE COMPANY INC, RRG",14388,N/A,FSR - A
CHICAGO TITLE INSURANCE COMPANY,50229,CHICAGO / FIDELITY,FSR - A''
COMMONWEALTH LAND TITLE INSURANCE COMPANY,50083,CHICAGO / FIDELITY,FSR - A'
CONIFER INSURANCE COMPANY,29734,"CONIFER HOLDINGS, INC",FSR - A
CONSUMER SPECIALTIES INSURANCE COMPANY RRG,10075,N/A,FSR - A
CORNERSTONE NATIONAL INSURANCE COMPANY,10783,N/A,FSR - A
