id,name,address,city,state,zip,phone,webaddress,weiss,weissrank,demotech,demotechrank,ambest,ambestrank,policycount,policycount_display,q4_2013_policycount,q1_2014_policycount,q2_2014_policycount,q3_2014_policycount,q4_2014_policycount,q1_2015_policycount,q2_2015_policycount,q3_2015_policycount,q4_2015_policycount,q1_2016_policycount,q2_2016_policycount,q3_2016_policycount,q4_2016_policycount,q1_2017_policycount,q2_2017_policycount,q3_2017_policycount,q4_2017_policycount,q1_2018_policycount,q2_2018_policycount,q3_2018_policycount,2yrpolicytotal,total_complaints_display,total_complaints,total_2013_complaintcount,total_2014_complaintcount,total_2015_complaintcount,total_2016_complaintcount,total_2017_complaintcount,total_2018_complaintcount,complaints_per_10k,complaintpercentile,complaintpercentilegroup,isincomplete,longloss,shortloss
1,Universal Property & Casualty Insurance Co.,1110 West Commercial Boulevard,Fort Lauderdale,FL,33309,954-958-1200,http://www.universalproperty.com,D,11,A,3,NR,33,636517,"636,517",499040,491174,493810,500503,491174,493810,531619,544681,550203,555866,564439,572865,577263,584855,595553,612227,617787,621333,631128,636517,609582.875,"1,483",1483,730,435,220,215,830,496,24.3,89,3,f,41.0%,37.6%
2,Citizens Property Insurance Corp.,2312 Killearn Center Blvd,Tallahassee,FL,32309-3524,(850) 513-3700,http://www.citizensfla.com,A+,1,NR,7,NR,33,438046,"438,046",1000249,917906,912731,910154,917906,912731,581556,484788,488476,476278,475761,479195,446506,442802,444850,452394,434919,435593,438802,438046,441739,"1,101",1101,3245,1925,648,652,438,274,24.9,90,3,f,55.3%,
3,State Farm Florida Insurance Co.,One State Farm Plaza,Bloomington,IL,61710,309-766-6393,http://www.statefarm.com,B,5,NR,7,B++,9,402681,"402,681",389109,0,0,0,0,0,344915,344763,344763,0,0,364131,0,0,0,403658,0,402681,,402681,403006.6667,352,352,499,0,0,160,163,86,8.7,43,2,f,36.4%,39.8%
4,Security First Insurance Co.,140 South Atlantic Avenue  Suite 200,Ormond Beach,FL,32176,386-673-5308,http://www.securityfirstflorida.com,B-,6,A,3,NR,33,342612,"342,612",176337,176087,178697,192058,176087,178697,246327,265132,280981,297412,315769,328266,334355,333975,336139,342192,340462,341033,341827,342612,339074.375,866,866,418,262,223,222,493,249,25.5,92,3,f,71.3%,31.4%
5,American Integrity Insurance Co. Of Florida,"5426 Bay Center Drive, Suite 650",Tampa,FL,33609,813-880-7003,http://www.aiicfl.com,C+,7,A,3,NR,33,281839,"281,839",179879,182673,189995,192131,182673,189995,206795,209581,212202,216310,221982,229098,236796,245556,256131,265557,269968,274663,280507,281839,263877.125,706,706,198,173,254,254,300,184,26.8,93,3,f,42.3%,40.7%
6,FedNat Insurance Co.,"14050 N.W. 14Th Street, Suite 180",Sunrise,FL,33323,800-293-2532,http://www.fednat.com,C,8,A,3,NR,33,240337,"240,337",116401,134081,152604,167597,134081,152604,212490,231828,242702,252975,265503,271461,272263,273105,271159,269218,263700,256075,247139,240337,261624.5,592,592,107,97,82,238,220,172,22.6,85,3,f,60.1%,53.0%
7,American Bankers Insurance Co. Of Florida,11222 Quail Roost Drive,Miami,FL,33157-6596,305-253-2244-35421,http://www.assurant.com,B,5,NR,7,A,5,239830,"239,830",124003,129118,135716,144341,129118,135716,158241,167279,167712,173213,175723,133281,94374,193850,199182,213582,216733,220231,228557,239830,200792.375,52,52,34,29,13,13,29,27,2.6,17,1,f,41.5%,33.2%
8,Heritage Property & Casualty Insurance Co.,2600 Mccormick Drive Suite 30,Clearwater,FL,33759,727-362-7205,http://www.heritagepci.com,C+,7,A,3,NR,33,231641,"231,641",133168,140903,171483,173512,140903,171483,223417,247221,266831,266846,254505,247406,241822,236642,229470,244065,240007,237522,235738,231641,237113.375,526,526,60,126,127,125,249,180,22.2,84,3,f,54.5%,59.1%
9,St. Johns Insurance Co.,"6675 Westwood Blvd., Suite 360",Orlando,FL,32821,407-226-8460-601,http://www.stjohnsinsurance.com/,C-,9,A,3,NR,33,183731,"183,731",170840,170467,171985,173166,170467,171985,169700,169266,168647,167844,167531,166942,166396,167330,168240,169181,170370,173415,178478,183731,172142.625,225,225,0,132,79,77,122,33,13.1,58,2,f,97.8%,79.9%
10,ASI Preferred Insurance Corp.,1 Asi Way,St. Petersburg,FL,33702-2514,727-821-8765,http://www.americanstrategic.com,B,5,A'',1,A+,3,164993,"164,993",99265,102139,105312,107695,102139,105312,113562,115159,116810,118141,120037,122263,125537,129858,134969,140389,145318,150949,158301,164993,143789.25,103,103,24,15,16,16,39,56,7.2,35,2,f,40.3%,26.1%
11,United Property & Casualty Insurance Co.,"360 Central Avenue, Suite 900",St. Petersburg,FL,33701,727-895-7737-273,http://www.upcinsurance.com,B-,6,A,3,NR,33,153326,"153,326",163314,160832,159191,156696,160832,159191,170006,172422,188428,185440,184650,184465,187412,187434,182136,177716,172067,166470,159170,153326,173216.375,562,562,140,152,250,249,163,178,32.4,97,3,f,55.9%,57.4%
12,Tower Hill Prime Insurance Co.,7201 N.W. 11Th Place,Gainesville,FL,32605,352-333-1362,http://www.thig.com,D,11,A,3,A-,7,140944,"140,944",133369,135202,137771,139242,135202,137771,145186,144845,144576,145077,144141,144638,148377,151369,153131,152132,149056,146923,143668,140944,148200,222,222,164,101,81,79,102,65,15,69,3,f,81.0%,73.8%
13,First Protective Insurance Co.,"7131 Business Park Lane, Suite 300",Lake Mary,FL,32746,(407) 444-5224,https://www.firstprotective.com,NR,16,A,3,NR,33,125131,"125,131",37632,37596,37267,37296,37596,37267,73826,76973,81496,85918,92963,99458,104138,109987,114831,118662,120921,122262,126141,125131,117759.125,129,129,58,43,43,43,54,43,11,55,2,f,46.5%,40.1%
14,United Services Automobile Association,9800 Fredericksburg Road,San Antonio,TX,78288,800-531-8111,http://www.usaa.com,B+,4,NR,7,A++,1,122021,"122,021",128511,126802,125524,124834,126802,125524,123837,123922,123668,123565,123746,124004,124157,123865,123583,124001,123814,122951,122490,122021,123360.25,21,21,24,19,3,3,12,9,1.7,14,1,f,80.8%,77.8%
15,Homeowners Choice Property & Casualty Insurance Co.,"5300 West Cypress Street, Suite 100",Tampa,FL,33607,813-405-3675,http://www.hcpci.com,C,8,A,3,NR,33,119008,"119,008",163385,158361,152337,147737,158361,152337,169286,163808,162082,157734,151450,146260,149793,145351,138599,135154,132709,128645,123004,119008,134032.875,209,209,0,112,67,67,110,63,15.6,70,3,f,50.7%,40.3%
16,American Traditions Insurance Co.,7785 66Th Street,Pinellas Park,FL,33781,727-561-0013,http://www.jergermga.com,C+,7,A,3,NR,33,115559,"115,559",49376,50725,52407,53316,50725,52407,55326,55968,56901,58244,59747,60433,60814,61812,63515,64631,64330,63716,116523,115559,76362.5,145,145,68,32,26,25,72,57,19,81,3,f,53.2%,58.2%
17,People's Trust Insurance Co.,18 People'S Trust Way,Deerfield Beach,FL,33441-6720,561-988-9170,http://www.peoplestrustinsurance.com,D,11,A,3,NR,33,115014,"115,014",93882,119639,128295,132790,119639,128295,141705,146128,151893,153752,152519,150077,146106,139712,135530,129626,120758,115688,114340,115014,127096.75,376,376,125,197,70,69,224,121,29.6,95,3,f,97.1%,68.4%
18,Florida Peninsula Insurance Co.,P.O. Box 50969,Sarasota,FL,34232-9989,877-229-2244,http://www.floridapeninsula.com,B-,6,A,3,NR,33,104268,"104,268",138228,134660,135095,134584,134660,135095,123314,119370,117577,117522,117322,117720,118771,118808,116930,114201,111874,109548,105848,104268,112531,369,369,463,236,110,111,183,95,32.8,98,3,f,43.0%,38.2%
19,Castle Key Indemnity Co.,"3075 Sanders Road, Suite H1E",Northbrook,IL,60062-7127,800-386-6126,http://www.allstate.com,B,5,A',2,B-,15,103547,"103,547",107634,106897,107040,107771,106897,107040,105274,105405,103295,102217,101892,100634,99443,98580,97822,100248,101888,99886,101424,103547,100354.75,74,74,76,41,24,24,24,37,7.4,38,2,f,,
20,Florida Specialty Insurance Co.,"4500 Nw 27Th Avenue, Building C2",Gainesville,FL,32606,352-333-0160-4103,http://www.floridaspecialty.com,C-,9,A,3,NR,33,89210,"89,210",30986,30968,31099,31019,30968,31099,30128,29748,29365,29139,28930,28758,28641,30568,62888,65898,69367,74379,82471,89210,62927.75,51,51,0,0,0,3,17,33,8.1,40,2,f,54.4%,43.6%
21,Olympus Insurance Co.,4200 Northcorp Parkway Suite 400,Palm Beach Gardens,FL,33410,561-231-5902,http://www.olympusinsurance.com,C,8,A,3,NR,33,87153,"87,153",70207,70800,74034,76276,70800,74034,89087,85406,86260,84447,83550,82811,82320,81061,79933,79117,79803,81772,84618,87153,81972.125,116,116,95,87,32,31,73,16,14.2,63,2,f,,
22,Florida Family Insurance Co.,"27599 Riverview Center Blvd., Suite 100",Bonita Springs,FL,34134-4323,239-495-4700,http://www.floridafamily.com,B,5,A',2,A-,7,82671,"82,671",104189,105143,106005,106217,105143,106005,106767,105606,104738,103803,102384,100333,98089,96072,93258,90898,88797,86807,84671,82671,90157.875,55,55,28,31,25,24,32,7,6.1,28,1,f,43.8%,45.0%
23,Safe Harbor Insurance Co.,2549 Barrington Circle,Tallahassee,FL,32308,850-386-1115,http://www.oceanharbor-ins.com,B-,6,A',2,NR,33,80507,"80,507",50233,59133,62103,64034,59133,62103,69979,71311,73508,75762,77172,78019,78337,79270,79908,80547,80747,80706,80720,80507,80092.75,86,86,53,43,29,30,41,21,10.7,52,2,f,44.9%,49.0%
24,Tower Hill Signature Insurance Co.,7201 N.W. 11Th Place,Gainesville,FL,32605,352-333-1362,http://www.thig.com,C,8,A,3,NR,33,76671,"76,671",100165,99946,99276,98566,99946,99276,95716,93696,93294,91340,87968,86017,85257,83394,80944,79480,78778,78371,77413,76671,80038.5,151,151,148,62,54,54,67,32,18.9,78,3,f,57.1%,28.2%
25,American Modern Insurance Co. Of Florida,7000 Midland Blvd,Amelia,OH,45102-2607,800-543-2644-6771,http://www.amig.com,B-,6,NR,7,A+,3,76359,"76,359",47856,48634,49697,51243,48634,49697,58414,65228,69999,57405,58514,60533,61523,54898,57116,62955,71285,75063,75353,76359,66819,2,2,7,5,1,1,0,1,0.3,7,1,f,48.8%,48.8%
26,Family Security Insurance Co. Inc.,200 2nd Ave. South,St. Petersburg,FL,33701,(727) 895-7737,http://www.familysecurityins.com/,NR,16,NR,7,NR,33,74988,"74,988",0,0,0,0,0,0,0,0,0,0,0,0,0,1471,13792,28093,40864,52405,64305,74988,34489.75,2,2,0,0,0,0,2,2,0.6,8,1,f,,
27,American Strategic Insurance Corp.,1 Asi Way,St. Petersburg,FL,33702-2514,727-821-8765,http://www.americanstrategic.com/,C,8,A'',1,A+,3,74269,"74,269",62200,62033,61642,61672,62033,61642,62791,63030,64195,64719,65021,65400,66798,67355,67919,68754,70334,71325,72741,74269,69936.875,100,100,41,43,23,23,58,29,14.3,64,2,f,56.7%,52.8%
28,Southern Fidelity Property & Casualty,2255 Killearn Center Blvd,Tallahassee,FL,32309,850-521-3080,http://www.southernfidelityins.com,C+,7,A,3,NR,33,71815,"71,815",74543,75824,71016,66373,75824,71016,62370,61175,60964,60728,60948,61544,65225,66995,69706,70145,70975,71810,72248,71815,69864.875,132,132,0,49,59,59,61,29,18.9,78,3,f,53.8%,53.3%
29,Safepoint Insurance Co.,12640 Telecom Dr,Temple Terrace,FL,33637,813-435-6379,http://www.safepointins.com,C+,7,A,3,B,13,71348,"71,348",0,31068,30113,27877,31068,30113,50691,48482,61050,63338,61060,59164,70675,74479,73065,71904,76903,78121,73189,71348,73710.5,141,141,0,6,17,17,64,61,19.1,82,3,f,75.3%,61.6%
30,Progressive Property Insurance Co.,1 Asi Way,St. Petersburg,FL,33702,(727) 821-8765,http://www.americanstrategic.com/,B-,6,A'',1,A+,3,69944,"69,944",0,0,0,0,0,0,0,0,0,0,0,0,92559,88807,84249,80561,74841,75183,72361,69944,79813.125,76,76,0,0,0,0,38,42,9.5,49,2,f,55.6%,36.7%
31,Cypress Property & Casualty Insurance Co.,"13901 Sutton Park Drive South, Suite 310",Jacksonville,FL,32224-0230,904-371-2394,http://www.cypressig.com,C,8,A,3,NR,33,67299,"67,299",71997,71798,70821,69349,71798,70821,65888,64483,63402,61945,64407,68381,68723,67318,64980,64600,64899,65459,66142,67299,66177.5,48,48,40,21,22,21,19,17,7.3,36,2,f,57.7%,56.3%
32,Southern Fidelity Insurance Co.,2255 Killearn Center Boulevard,Tallahassee,FL,32309,850-521-3080,http://www.southernfidelityins.com,B,5,A,3,NR,33,65781,"65,781",69283,72059,70146,68922,72059,70146,67912,66585,65675,64263,62818,61896,62643,61321,60967,60928,61674,62678,64316,65781,62538.5,180,180,122,80,73,73,83,36,28.8,94,3,f,46.6%,46.9%
33,USAA Casualty Insurance Co.,9800 Fredericksburg Road,San Antonio,TX,78288,800-531-8111,http://www.usaa.com,A-,3,NR,7,A++,1,65272,"65,272",54776,53956,53589,53942,53956,53589,56278,57770,58349,59167,59935,61138,61619,62085,62509,63780,64405,64028,64669,65272,63545.875,44,44,47,36,21,21,23,7,6.9,34,2,f,83.1%,77.5%
34,Auto Club Insurance Co. Of Florida,"14055 Riveredge Drive, Suite 500",Tampa,FL,33637,813-632-7317,http://www.autoclubfl.com,B,5,A,3,B++,9,64984,"64,984",58120,59423,60716,61593,59423,60716,63805,64465,64875,65561,65403,65284,65403,65951,65800,66018,65865,66228,65638,64984,65735.875,41,41,18,21,14,14,22,12,6.2,31,1,f,57.8%,60.6%
35,Castle Key Insurance Co.,"3075 Sanders Road, Suite H1E",Northbrook,IL,60062-7127,800-386-6126,http://www.allstate.com,B,5,A',2,B-,15,63019,"63,019",98016,95823,93432,90905,95823,93432,84748,82328,80098,78073,76176,74557,73011,71432,69884,68545,67437,65840,64328,63019,67937,146,146,199,100,61,59,70,50,21.5,83,3,f,57.2%,52.5%
36,Universal Insurance Co. Of North America,"101 Paramount Drive, Suite 220",Sarasota,FL,34232,941-378-8851-6921,http://www.uihna.com,C-,9,A,3,NR,33,62443,"62,443",58473,56062,53356,51751,56062,53356,52689,52879,52827,53731,56084,57964,60047,61316,62243,63403,64348,64374,63871,62443,62755.625,92,92,50,58,20,20,53,22,14.7,67,3,f,78.0%,87.5%
37,Gulfstream Property And Casualty Insurance Co.,1501 Lady Street,Columbia,SC,34240,866-485-3004,http://www.gspcic.com,B-,6,A,3,NR,33,61419,"61,419",55500,56449,56898,57249,56449,56898,59188,59512,59396,59361,59350,59751,60729,61508,62095,62984,63632,63067,62355,61419,62223.625,56,56,48,40,16,16,32,14,9,45,2,f,61.3%,38.4%
