Company,Group Name,Address,City,Domicile State,Zip,Phone,President,Web Address,Commenced Operations,Weiss Financial Strength Rating *,2013 Florida Homeowners Direct Premiums Written               $,2013 Florida Homeowners Direct Losses    Incurred                               $,"Total Assets as of June 30, 2014             $","Total Liabilities  as of June 30, 2014       $",2013 Marketshare                         %,Net Income            2013                       $,Net Income            June 2014        $,Capital and Surplus          2013,Capital and Surplus              June 2014,2012 Reserves,2013 Reserves,2012 to 2013 change in reserves                   $,2012 to 2013 change %,June 2014 Reserves,2013 to 2014 change in reserves                   $,2013 to 2014 change %,2012 to 2014 change in reserves                   $,2012 to 2014 change %
CITIZENS PROPERTY INSURANCE CORP,,2312 KILLEARN CTR BLVD BLDG A,TALLAHASSEE,FL,32309,(850) 513-3700,BARRY GILWAY,https://www.citizensfla.com,21-Jan-93,A+,"1,272,335,759","388,109,714","14,610,658,790","7,103,245,853",14.6,"665,346,488","491,494,865","7,008,208,509","7,507,412,937","1,140,376,988","953,328,817","-187,048,171",-16.4,"865,228,643","-88,100,174",-9.24,"-275,148,345",-24.13
UNIVERSAL PROPERTY AND CASUALTY INSURANCE,UNIVERSAL INSURANCE HLDGS INC,1110 WEST COMMERCIAL BOULEVARD,FORT LAUDERDALE,FL,33309,(954) 958-1200,SEAN PATRICK DOWNES,https://universalproperty.com,31-Dec-97,E+,"684,379,171","141,630,309","649,078,266","481,215,864",7.85,"27,650,575","2,918,409","161,803,292","167,862,402","91,333,208","68,267,257","-23,065,951",-25.25,"65,685,968","-2,581,289",-3.78,"-25,647,240",-28.08
STATE FARM FLORIDA INSURANCE COMPANY,STATE FARM IL,7401 CYPRESS GARDENS BLVD.,WINTER HAVEN,FL,33888,(863) 318-3000,JAMES MURRAY THOMPSON,https://www.statefarm.com,30-Dec-98,C,"646,850,723","136,310,936","1,889,571,626","1,082,590,934",7.42,"174,481,188","60,640,125","734,564,784","806,980,691","317,216,348","237,404,643","-79,811,705",-25.16,"216,331,219","-21,073,424",-8.88,"-100,885,129",-31.8
HOMEOWNERS CHOICE PROPERTY AND CASUALTY INSURANCE COMPANY,HCI GROUP INC,5300 W CYPRESS ST SUITE 100,TAMPA,FL,33607,813-405-3600,SCOTT RICHARDSON WALLACE,http://www.hcpci.com,19-Jun-07,D,"311,550,298","45,609,634","370,897,378","232,746,240",3.57,"45,723,648","19,737,105","116,898,615","138,151,137","38,045,468","40,006,717","1,961,249",5.16,"39,432,004","-574,713",-1.44,"1,386,536",3.64
FLORIDA PENINSULA INSURANCE COMPANY,FLORIDA PENINSULA HOLDINGS LLC,903 NW 65TH ST SUITE 200,BOCA RATON,FL,33487,(561) 994-8366,CLINT BRYAN STRAUCH,http://www.floridapeninsula.com,1-May-05,D,"310,352,524","60,317,347","323,914,381","244,040,304",3.56,"15,458,436","8,050,837","71,154,644","79,874,077","81,830,849","76,593,224","-5,237,625",-6.4,"77,102,914","509,690",0.67,"-4,727,935",-5.78
UNITED SERVICES AUTOMOBILE ASN,USAA GROUP,9800 FREDERICKSBURG RD,SAN ANTONIO,TX,78288-8711,(210) 498-2211,JOSUE ROBLES JR,https://www.usaa.com,20-Jun-22,A+,"277,431,545","57,644,426","29,862,593,657","7,837,275,710",3.18,"922,550,983","63,663,851","20,754,486,132","22,025,317,947","2,653,578,543","2,542,686,138","-110,892,405",-4.18,"2,725,792,183","183,106,045",7.2,"72,213,640",2.72
UNITED PROPERTY AND CASUALTY INSURANCE COMPANY,UNITED INSURANCE HOLDINGS LC,P.O. BOX 1011,ST PETERSBURG,FL,33731-1011,(727) 895-7737,JOHN LESLIE FORNEY,http://www.upcinsurance.com,2-Apr-99,C,"263,178,022","64,272,690","350,065,542","258,978,728",3.02,"7,200,126","11,261,298","78,361,610","91,086,813","27,799,120","30,812,682","3,013,562",10.84,"31,839,951","1,027,269",3.33,"4,040,831",14.54
ST JOHNS INSURANCE COMPANY INC,ST JOHNS FINANCIAL HOLDING COMPANY INC,6675 WESTWOOD BLVD STE 360,ORLANDO,FL,32821-6015,(407) 226-8460,REESE IRWIN BOWEN,http://www.stjohnsinsurance.com,4-Dec-03,D,"255,851,881","61,309,982","132,908,690","83,675,154",2.94,"4,468,176","956,802","48,621,994","49,233,536","10,986,219","10,219,487","-766,732",-6.98,"9,879,033","-340,454",-3.33,"-1,107,186",-10.08
FEDERATED NATIONAL INSURANCE COMPANY,FEDERATED NATIONAL HOLDING COMPANY,14050 NW 14TH ST SUITE 180,SUNRISE,FL,33323,(954) 581-9993,MICHAEL HERBERT BRAUN,http://www.fednat.com,1-Mar-84,D,"220,639,653","40,820,907","364,052,986","272,013,396",2.53,"3,609,681","12,235,666","76,888,814","92,039,590","23,314,756","34,487,524","11,172,768",47.92,"47,527,520","13,039,996",37.81,"24,212,764",103.85
PEOPLES TRUST INSURANCE COMPANY,,"6001 BROKEN SOUND PARKWAY, SUITE 200",BOCA RATON,FL,33487,(561) 988-9170,MITCHELL FREDERICK POLITZER,http://www.peoplestrustinsurance.com,6-Mar-08,D,"203,009,802","30,468,275","237,510,521","173,918,206",2.33,"9,144,721","1,206,708","61,251,402","63,592,315","12,348,372","26,669,980","14,321,608",115.98,"39,023,885","12,353,905",46.32,"26,675,513",216.02
